cell_type,BTC_0004,BTC_0009,BTC_0010,BTC_0011,BTC_0012,BTC_0013,BTC_0014,BTC_0015,BTC_0016,BTC_0017,BTC_0018,BTC_0019,BTC_0020,BTC_0022,BTC_0023,BTC_0024,BTC_0025,BTC_0026,BTC_0028,BTC_0029,BTC_0030,BTC_0032,BTC_0033,BTC_0034,BTC_0035,BTC_0036,BTC_0037,BTC_0038,BTC_0039,BTC_0040,BTC_0042,BTC_0045,BTC_8002
T cell CD4+ naive_CIBERSORT,0,0,0.0339688616070528,0,0,0,0.117966278420908,0.0310289980352365,0,0,0.00133173554925391,0,0,0,0,0,0,0,0,0,0.00403040117525185,0,0,0.0114144362424378,0,0,0,0.0917653563289688,0.0646357852974929,0,0.0774920728759139,0.28919428552754,0.0250091633514942
T cell CD4+ memory resting_CIBERSORT,0.0304388642588269,0.202927096832007,0.130620440941553,0.061579618642317,0.0414184735634139,0.205100932387886,0,0.40362569880937,0.4473676707493,0.0672637633319601,0.263418170444505,0.132685411337753,0.286975778953092,0.188627576228499,0.106579907836199,0.0560125823252086,0.0254205599055393,0.14773385334872,0.232893531031438,0.250382216693042,0.243012097253689,0.0561591554341868,0.152391680033164,0,0,0.337168165308925,0.159106369182129,0.0431118525609972,0.0156742462647482,0.226264564258311,0.0403157815924232,0,0
T cell CD4+ memory activated_CIBERSORT,0,0,0,0.0513360361108995,0,0,0.0754249419031571,0,0,0,0,0,0,0,0.0108007473855354,0,0.0062576791721472,0,0.000647339657325437,0,0,0,0.129153295970634,0.0360314479476593,0,0,0,0,0,0,0,0.117181931389403,0
T cell follicular helper_CIBERSORT,0.0373196642897927,0.131824494299565,0.0294730028208102,0.0546058652718907,0.201831164795832,0,0,0,0.07885763004382,0.0517196140461777,0,0.0238070717527472,0.019305663543282,0.190674618374277,0.0567574637206703,0.0233002548457632,0.0990192871612612,0.126473939210404,0,0.0366009911785547,0.0590364388259806,0.0383650092187035,0.0257401004778631,0.0289159763679665,0.0492292515325165,0,0.0671118361539374,0.000321927207490795,0,0.0216896068887949,0.00728195681262706,0,0.00365196335764359
T cell regulatory (Tregs)_CIBERSORT,0.0167075222031966,0,0,0,0.123618239972013,0,0.00991385011032948,0.0332943681366432,0.000567967857137532,0.00851839709151391,0,0,0,0.113262178612963,0.00921043761480104,0,0,0,0.00517830344045444,0,0.0465441070201503,0.00277668300937144,0,0,0.0134240436463996,0,0,0,0.0664470320565386,0,0,0.0640313856447431,0.00375567337179968
T cell gamma delta_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171962718113424,0.0126919097891325
NK cell resting_CIBERSORT,0,0,0.00284989577104334,0.0605120736566523,0,0.0015975801589896,0.140434518384435,0.0559692897688742,0.0172088559134559,0.0262959693392807,0,0.00326403588762451,0.0267544974956637,0,0,0,0.0367163993584993,0,0,0,0.0782493534799307,0,0.060894309611282,0,0.0317879486437271,0.000295863494231686,0,0.000830631375849198,0.133707675645212,0.119271836137586,0.00635434054420422,0.0215266209990046,0
NK cell activated_CIBERSORT,0.0634300642953198,0.111782917223924,0.123886660798717,0,0.0717121189625623,0,0,0,0.0666812871179406,0.0153390168068548,0.0936050991388835,0.0798701954536051,0.0445808801845421,0.0114906113311326,0.0875456379705065,0.0298030049106772,0,0.108905180799449,0.024421657667051,0.106075400362652,0,0,0.111225648636197,0.0246496293357331,0,0.134862225316258,0.044358153440413,0.0177646044145484,0,0,0,0,0.012315499333435
Monocyte_CIBERSORT,0,0.0496342617145156,0.0152484569008697,0,0.0354977698125963,0,0.0374882499499334,0.0118487548382737,0.118163726773181,0,0.00428619976485651,0.0336155086803523,0,0,0.0426529362013109,0,0,0,0.0414876986302285,0.0326074612640703,0.0344880603258732,0.0350902072258773,0.0526315014228623,0,0,0,0,0.0329497923175518,0.00381842239607813,0.033124674994724,0,0.0505947280727575,0
Macrophage M0_CIBERSORT,0.174618452362531,0.109957825821792,0.0197123461634715,0.082232640064312,0.114436324213324,0.268083874826169,0,0.241848014445551,0.179034628052377,0.434503572045785,0.0244106593853753,0.360818328938234,0.262406697006469,0.162443921195637,0.0691200984668039,0.0437293859218136,0.0803406524459963,0.054056475058435,0,0.191909786441057,0,0.00182241476710684,0.0177014299826306,0.222836922514862,0.160216773406855,0.0812569265070835,0.175719784602207,0.144149885096822,0,0,0.178352094315688,0,0.395059533300411
