sampleName Signature.1 Signature.2 Signature.3 Signature.4 Signature.5 Signature.6 Signature.7a Signature.7b Signature.7c Signature.7d Signature.8 Signature.9 Signature.10a Signature.10b Signature.10c Signature.10d Signature.11 Signature.12 Signature.13 Signature.14 Signature.15 Signature.16 Signature.17a Signature.17b Signature.18 Signature.19 Signature.20 Signature.21 Signature.22 Signature.23 Signature.24 Signature.25 Signature.26 Signature.27 Signature.28 Signature.29 Signature.30 Signature.31 Signature.32 Signature.33 Signature.34 Signature.35 Signature.36 Signature.37 Signature.38 Signature.39 Signature.40 Signature.41 Signature.42 Signature.43 Signature.44 Signature.45 Signature.46 Signature.47 Signature.48 Signature.49 Signature.50 Signature.51 Signature.52 Signature.53 Signature.54 Signature.55 Signature.56 Signature.57 Signature.58 Signature.59 Signature.60 Signature.84 Signature.85 Signature.86 Signature.87 Signature.88 Signature.89 Signature.90 Signature.91 Signature.92 Signature.93 Signature.94 Residuals AbsResiduals RSS N.Mutations
BTC_9003_Lv_P_526_SBS 370.371790178703 134.861209744088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 429.334408498775 0 0 1150.308992979 183.192301776455 0 268.925772436456 0 0 195.088635684923 0 0 0 0 0 462.176360495705 0 0 0 166.278821361317 0 0 0 0 951.996561217619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 198.465145626962 1130.08815800907 24982.2554041708 4511
BTC_0034_Lv_P_526_SBS 627.659580163958 80.0508792103794 0 0 0 0 0 0 0 0 628.86642423465 0 0 119.371172686729 0 0 0 0 89.9416185213697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 382.264688574272 0 0 0 0 0 0 0 0 0 2618.74350773493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 132.102128873713 1178.52232216193 27833.3902228478 4679
BTC_0026_Lv_M_526_SBS 520.958543687753 53.8772339595529 0 0 0 0 0 0 0 0 1197.2163788221 0 0 0 0 0 0 0 203.202123450066 0 0 226.863147274987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 722.808522369048 0 0 0 0 0 0 797.634271806089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 384.161355441894 0 0 0 0 0 0 0 0 0 262.278423188505 1269.38083372298 34514.7724878365 4369
BTC_0036_Lv_P_526_SBS 361.091455245272 183.893552636921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54.2214763811924 0 0 327.445565289403 0 0 0 0 0 0 0 0 0 0 531.891303542005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1710.93138745374 0 0 0 0 0 548.525259451462 1342.47532266646 36818.305562703 3718
BTC_0018_Lv_P_526_SBS 199.651808258179 0 0 0 0 0 0 0 0 0 340.575129513928 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 327.198571842144 0 0 0 0 0 0 0 0 0 0 0 0 0 382.210569421824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 526.630837761243 0 0 0 922.703225261972 0 0 0 0 0 253.029857940711 1077.69287114213 25106.8796623884 2952
BTC_0004_Lv_M_526_SBS 497.05727509134 443.356962970451 6491.85147995519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 369.239310147487 0 0 0 0 0 0 0 635.143969572231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1218.53782477814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.813177485156322 2151.53679699454 121905.713321037 9656
BTC_0022_Lv_M_526_SBS 1115.76764635271 550.277637772601 0 0 3567.28009688628 0 0 0 0 0 1160.50280102873 0 0 163.268454830057 0 0 0 0 449.750491531453 0 0 0 0 81.696716130371 1056.98544676457 335.511624385629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 171.036740033162 0 0 0 0 0 0 681.873202457048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 275.795875664021 198.740630557427 0 0 0 135.489665555249 0 0 0 0 93.0229700506979 1417.96563071497 42397.3767264927 10037
BTC_0027_Lv_M_526_SBS 1363.50905790757 489.438083274097 0 0 0 0 0 0 0 0 816.061798598123 0 0 249.396427401824 0 0 0 0 457.718921609708 0 0 0 110.7889847449 103.330053586308 0 0 0 0 0 0 949.417219337829 0 0 0 0 0 0 0 1148.47790588004 0 402.617357092034 2227.57878719651 0 1689.4322532379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 224.790114858652 0 0 0 0 249.443035274494 2464.26666493021 124051.24708434 10482
BTC_9010_Lv_P_526_SBS 429.775926245178 177.903536919399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 232.487562465978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 779.625449207858 0 0 0 276.843851709253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2192.36367345233 2592.3829734528 120501.543707298 4089
BTC_0030_Lv_M_526_SBS 486.994953237509 227.12874610658 1566.94758109657 0 0 0 0 0 0 0 0 0 0 97.0994184727392 0 0 0 0 137.780226709791 0 0 223.663435736385 100.4777975677 498.537914007296 459.376031992058 192.246934453613 0 0 0 0 0 0 588.939790893737 0 0 0 500.200918333918 0 0 0 0 0 0 440.763150895749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 292.604159058362 0 0 0 0 72.2389414379929 995.526077807954 20880.0543174362 5885
